,0,3OH10,chitooctaose,eATP,self,sflg,sIF1,smock,snlp,sOGs,spep,sPGN
11626,AT5G55500,0,0,0,1,1,0,0,1,0,1,0
11627,AT5G55520,0,0,0,0,0,0,0,0,0,1,1
11628,AT5G55530,0,0,0,1,1,0,0,1,0,1,0
11629,AT5G55560,0,0,0,1,1,0,0,1,1,1,0
11630,AT5G55570,0,0,0,0,0,0,0,1,0,0,0
11631,AT5G55580,0,0,0,1,0,0,0,0,0,0,0
11632,AT5G55610,0,0,0,1,1,0,0,1,0,1,0
11633,AT5G55650,0,0,0,1,0,0,0,0,0,0,0
11634,AT5G55660,0,0,0,1,0,1,0,0,0,0,0
11635,AT5G55670,0,0,0,1,0,0,0,0,0,1,0
11636,AT5G55680,0,0,0,0,0,0,1,0,0,0,0
11637,AT5G55700,0,0,0,0,1,0,0,0,0,1,0
11638,AT5G55780,0,0,0,1,0,0,0,0,0,0,0
11639,AT5G55850,0,1,0,1,1,0,0,1,1,1,0
11640,AT5G55860,0,0,0,1,1,0,0,1,1,1,0
11641,AT5G55910,0,0,0,1,0,0,0,0,0,1,0
11642,AT5G55920,0,0,0,1,0,0,0,0,0,0,0
11643,AT5G55930,1,1,0,1,1,0,0,1,1,1,0
11644,AT5G55950,0,0,0,0,0,0,0,0,1,0,0
11645,AT5G55960,0,0,0,1,0,0,0,0,0,0,0
11646,AT5G55970,0,0,0,1,1,0,0,1,1,1,0
11647,AT5G56000,0,0,0,1,1,1,1,1,1,1,0
11648,AT5G56010,0,0,0,1,1,1,1,1,1,1,0
11649,AT5G56020,0,0,0,1,0,0,0,0,0,0,0
11650,AT5G56030,0,0,0,1,1,1,1,1,1,1,0
11651,AT5G56040,0,0,0,1,0,1,0,0,0,1,0
11652,AT5G56050,0,0,0,1,0,0,0,0,0,1,0
11653,AT5G56120,0,0,0,1,0,0,0,0,0,0,0
11654,AT5G56150,0,0,0,1,0,0,0,0,0,0,0
11655,AT5G56160,0,0,0,0,0,0,0,0,0,1,0
11656,AT5G56170,0,0,0,1,1,0,0,0,0,0,0
11657,AT5G56180,0,0,0,1,0,0,0,0,0,0,0
